country,chart,indicator_id,visualisation_id,file,rows,title,data_status
IT,external,,27401214,output/by_country/IT/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Italije,loaded
IT,lagging,,27401211,output/by_country/IT/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Italije,loaded
LV,all,,27401290,output/by_country/LV/6_svi_indikatori.csv,3431,Ekonomski semafor: Latvija,upload in editor
LV,leading,,27401291,output/by_country/LV/1_vodeci_indikatori.csv,830,Vodeće varijable Latvije,loaded
LV,supply,,27401287,output/by_country/LV/2_podudarni_proizvodnja.csv,823,Podudarne sektorske varijable Latvije,loaded
LV,demand,,27401288,output/by_country/LV/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Latvije,loaded
LV,external,,27401289,output/by_country/LV/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Latvije,loaded
LV,lagging,,27401292,output/by_country/LV/5_kasni_indikatori_stecaj.csv,681,Zaostajuće varijable poslovnog ciklusa Latvije,loaded
LT,all,,27401336,output/by_country/LT/6_svi_indikatori.csv,3022,Ekonomski semafor: Litva,upload in editor
LT,leading,,27401335,output/by_country/LT/1_vodeci_indikatori.csv,693,Vodeće varijable Litve,loaded
LT,supply,,27401332,output/by_country/LT/2_podudarni_proizvodnja.csv,688,Podudarne sektorske varijable Litve,loaded
LT,demand,,27401340,output/by_country/LT/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Litve,loaded
LT,external,,27401339,output/by_country/LT/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Litve,loaded
LT,lagging,,27401333,output/by_country/LT/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Litve,loaded
LU,all,,27401375,output/by_country/LU/6_svi_indikatori.csv,3143,Ekonomski semafor: Luksemburg,upload in editor
LU,leading,,27401378,output/by_country/LU/1_vodeci_indikatori.csv,690,Vodeće varijable Luksemburga,loaded
LU,supply,,27401372,output/by_country/LU/2_podudarni_proizvodnja.csv,818,Podudarne sektorske varijable Luksemburga,loaded
LU,demand,,27401373,output/by_country/LU/3_podudarni_potrosnja_trgovina.csv,677,Podudarne varijable potrošnje Luksemburga,loaded
LU,external,,27401374,output/by_country/LU/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Luksemburga,loaded
LU,lagging,,27401379,output/by_country/LU/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Luksemburga,loaded
MT,all,,27401418,output/by_country/MT/6_svi_indikatori.csv,3145,Ekonomski semafor: Malta,upload in editor
MT,leading,,27401417,output/by_country/MT/1_vodeci_indikatori.csv,819,Vodeće varijable Malte,loaded
MT,supply,,27401415,output/by_country/MT/2_podudarni_proizvodnja.csv,685,Podudarne sektorske varijable Malte,loaded
MT,demand,,27401424,output/by_country/MT/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Malte,loaded
MT,external,,27401421,output/by_country/MT/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Malte,loaded
MT,lagging,,27401416,output/by_country/MT/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Malte,loaded
DE,all,,27401458,output/by_country/DE/6_svi_indikatori.csv,3567,Ekonomski semafor: Njemačka,upload in editor
DE,leading,,27401459,output/by_country/DE/1_vodeci_indikatori.csv,830,Vodeće varijable Njemačke,loaded
DE,supply,,27401461,output/by_country/DE/2_podudarni_proizvodnja.csv,960,Podudarne sektorske varijable Njemačke,loaded
DE,demand,,27401462,output/by_country/DE/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Njemačke,loaded
DE,external,,27401457,output/by_country/DE/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Njemačke,loaded
DE,lagging,,27401460,output/by_country/DE/5_kasni_indikatori_stecaj.csv,680,Zaostajuće varijable poslovnog ciklusa Njemačke,loaded
PT,all,,27401506,output/by_country/PT/6_svi_indikatori.csv,3296,Ekonomski semafor: Portugal,upload in editor
PT,leading,,27401505,output/by_country/PT/1_vodeci_indikatori.csv,830,Vodeće varijable Portugala,loaded
PT,supply,,27401501,output/by_country/PT/2_podudarni_proizvodnja.csv,825,Podudarne sektorske varijable Portugala,loaded
PT,demand,,27401500,output/by_country/PT/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Portugala,loaded
PT,external,,27401499,output/by_country/PT/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Portugala,loaded
PT,lagging,,27401502,output/by_country/PT/5_kasni_indikatori_stecaj.csv,681,Zaostajuće varijable poslovnog ciklusa Portugala,loaded
SK,all,,27401572,output/by_country/SK/6_svi_indikatori.csv,3255,Ekonomski semafor: Slovačka,upload in editor
SK,leading,,27401636,output/by_country/SK/1_vodeci_indikatori.csv,690,Vodeće varijable Slovačke,loaded
SK,supply,,27401640,output/by_country/SK/2_podudarni_proizvodnja.csv,960,Podudarne sektorske varijable Slovačke,loaded
SK,demand,,27401641,output/by_country/SK/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Slovačke,loaded
SK,external,,27401642,output/by_country/SK/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Slovačke,loaded
SK,lagging,,27401637,output/by_country/SK/5_kasni_indikatori_stecaj.csv,508,Zaostajuće varijable poslovnog ciklusa Slovačke,loaded
SI,all,,27401537,output/by_country/SI/6_svi_indikatori.csv,3569,Ekonomski semafor: Slovenija,upload in editor
SI,leading,,27401540,output/by_country/SI/1_vodeci_indikatori.csv,830,Vodeće varijable Slovenije,loaded
